horas;valor
4;1.130,37
4;964,3248503
4;964,885101
4;992,3709998
4;1.173,91
4;1023,957934
4;0
5;1.137,17
6;1.144,53
6;1.115,85
6;0
6;1.530,63
7,5;1.283,60
8;1.613,13
8;1.735
8;1.869,67
8;1.568,16
9;1.734,30
8;1.727,51
10;1.510,15
10;1.842,94
10;0
10;1.732,01
10;1.557,85
10;2.163,41
10;1.782,43
10;1.712,26
10;1.828,16
10;2.163,41
10;1.732,01
10;1.741,12
10;1.732,01
10;1.925,43
10,5;1.624,49
10,5;1.624,49
11;1.834,96
11;1.700
11,5;1.803,85
12;1.634,70
12,5;1.373,66
